"customer_id","company_name","contact_name","contact_title","address","city","region","postal_code","country","phone","fax"
BONDA,Торгівля і Ко,Бондарець Яків,Менеджер з продажу,Вул. Шевченка 15,Київ,,"01001",Україна,"044-1234567","044-7654321"
PETRO,Петрівський ринок,Петренко Олексій,Директор,Вул. Лесі Українки 10,Львів,,"79000",Україна,"032-2345678","032-8765432"
IVANO,Івано-Франківський торговий дім,Іванов Іван,Торговий представник,Вул. Мазепи 20,Івано-Франківськ,,"76000",Україна,"0342-345678","0342-876543"
SERHI,Сергіївський маркет,Сергієнко Марина,Адміністратор,Вул. Сумська 35,Харків,,"61000",Україна,"057-4567890","057-9876543"
ZHYTO,Житомирська торгова компанія,Житник Олена,Менеджер з продажу,Вул. Перемоги 12,Житомир,,"10000",Україна,"0412-567890","0412-678901"
OLEKS,Олександрійський супермаркет,Олександрова Світлана,Заступник директора,Вул. Грушевського 5,Олександрія,,"28000",Україна,"05235-123456","05235-654321"
DROHO,Дрогобицький базар,Дрогобиченко Віктор,Торговий агент,Вул. Котляревського 22,Дрогобич,,"82100",Україна,"03244-234567","03244-765432"
VINNY,Вінницька компанія,Вінничук Богдан,Менеджер з продажу,Вул. Соборна 45,Вінниця,,"21000",Україна,"0432-345678","0432-876543"
SUMYK,Сумський ринок,Сумська Наталія,Директор,Вул. Харківська 33,Суми,,"40000",Україна,"0542-456789","0542-987654"
CHERN,Чернігівська торгова мережа,Чернігівський Дмитро,Адміністратор,Вул. Миру 11,Чернігів,,"14000",Україна,"0462-567890","0462-678901"
POLTA,Полтавський супермаркет,Полтавенко Юлія,Менеджер з продажу,Вул. Жовтнева 20,Полтава,,"36000",Україна,"0532-123456","0532-654321"
KHERS,Херсонський ринок,Херсонський Олег,Торговий представник,Вул. Ушакова 28,Херсон,,"73000",Україна,"0552-234567","0552-765432"
DNPRO,Дніпропетровський супермаркет,Дніпренко Андрій,Директор,Проспект Гагаріна 100,Дніпро,,"49000",Україна,"056-345678","056-876543"
ODESA,Одеський торговий дім,Одеський Віктор,Заступник директора,Вул. Дерибасівська 14,Одеса,,"65000",Україна,"048-456789","048-987654"
LUCKI,Луцький базар,Луцький Василь,Менеджер з продажу,Вул. Лесі Українки 8,Луцьк,,"43000",Україна,"0332-567890","0332-678901"
UZHOR,Ужгородський ринок,Ужгородський Михайло,Адміністратор,Вул. Корзо 16,Ужгород,,"88000",Україна,"0312-123456","0312-654321"
TERNO,Тернопільський супермаркет,Тернопільський Ігор,Торговий агент,Вул. Руська 2,Тернопіль,,"46000",Україна,"0352-234567","0352-765432"
RIVNE,Рівненська компанія,Рівненко Володимир,Менеджер з продажу,Вул. Соборна 7,Рівне,,"33000",Україна,"0362-345678","0362-876543"
CHENR,Черкаська торгова мережа,Черкаський Петро,Директор,Вул. Смілянська 12,Черкаси,,"18000",Україна,"0472-456789","0472-987654"
KHMEL,Хмельницький супермаркет,Хмельницький Сергій,Заступник директора,Вул. Кам’янецька 5,Хмельницький,,"29000",Україна,"0382-567890","0382-678901"
ZAPOR,Запорізький ринок,Запорізька Оксана,Адміністратор,Вул. Соборна 22,Запоріжжя,,"69000",Україна,"061-123456","061-654321"
CHERB,Чернівецький торговий дім,Чернівецький Микола,Торговий представник,Вул. Головна 40,Чернівці,,"58000",Україна,"0372-234567","0372-765432"
MYKOL,Миколаївський супермаркет,Миколаївський Дмитро,Директор,Проспект Центральний 15,Миколаїв,,"54000",Україна,"0512-345678","0512-876543"
IVAN2,Івано-Франківський ринок,Івано-Франківський Олег,Менеджер з продажу,Вул. Незалежності 30,Івано-Франківськ,,"76000",Україна,"0342-456789","0342-987654"
SUMSK,Сумська торгова мережа,Сумський Юрій,Адміністратор,Вул. Троїцька 17,Суми,,"40000",Україна,"0542-567890","0542-678901"
POLT2,Полтавська компанія,Полтавенко Анастасія,Торговий агент,Вул. Європейська 25,Полтава,,"36000",Україна,"0532-123456","0532-654321"
LVIV2,Львівський ринок,Львівський Віктор,Менеджер з продажу,Вул. Городоцька 50,Львів,,"79000",Україна,"032-2345678","032-8765432"
KHARK,Харківський базар,Харківський Олександр,Директор,Вул. Сумська 28,Харків,,"61000",Україна,"057-3456789","057-9876543"
DNIP2,Дніпровський супермаркет,Дніпропетровська Ольга,Заступник директора,Вул. Глинки 40,Дніпро,,"49000",Україна,"056-1234567","056-7654321"
ODES2,Одеська торгова мережа,Одеський Михайло,Торговий представник,Вул. Пушкінська 18,Одеса,,"65000",Україна,"048-4567890","048-9876543"
KYIV2,Київський ринок,Київський Артем,Менеджер з продажу,Проспект Перемоги 30,Київ,,"01000",Україна,"044-5678901","044-6789012"
ZHITO2,Житомирський базар,Житомирський Павло,Адміністратор,Вул. Київська 5,Житомир,,"10000",Україна,"0412-345678","0412-876543"
LVIVK,Львівська торгова компанія,Львівська Анна,Директор,Вул. Коперника 7,Львів,,"79000",Україна,"032-1234567","032-7654321"
